recordid,longitude,latitude,datetime,event_link,location
735,16.1330475,50.800023,2020-10-28T00:00:00,,POINT(16.1330475 50.800023)
736,23.58165,52.74514,2020-10-28T00:00:00,https://www.facebook.com/events/466414034334935/,POINT(23.58165 52.74514)
737,20.806393,52.1731045,2020-10-28T00:00:00,https://www.facebook.com/events/340674800562061/,POINT(20.806393 52.1731045)
738,11.4041024,47.2692124,2020-10-28T00:00:00,https://www.facebook.com/events/1224163131292631/,POINT(11.4041024 47.2692124)
739,16.0846672,51.6635852,2020-10-28T00:00:00,,POINT(16.0846672 51.6635852)
740,15.41971,53.16928,2020-10-28T00:00:00,,POINT(15.41971 53.16928)
741,21.7667854,54.0367504,2020-10-28T00:00:00,https://www.facebook.com/events/2573004492990595/,POINT(21.7667854 54.0367504)
742,20.3038771,50.639337,2020-10-28T00:00:00,https://www.facebook.com/events/800273100762242/,POINT(20.3038771 50.639337)
743,22.053586,50.5826005,2020-10-28T00:00:00,https://www.facebook.com/events/1245608472485797/,POINT(22.053586 50.5826005)
744,15.3248325,51.6178445,2020-10-28T00:00:00,https://www.facebook.com/events/2747171152189818/,POINT(15.3248325 51.6178445)
745,18.4719102,50.003137,2020-10-28T00:00:00,https://www.google.com/maps/d/u/0/edit?mid=1h3TNKF4l_PX0TS8epH_91aHrFC2AOpRZ&ll=50.52117368539379%2C20.194702683852345&z=15,POINT(18.4719102 50.003137)
746,14.7284576,51.9489824,2020-10-28T00:00:00,https://www.facebook.com/events/409426583784443/,POINT(14.7284576 51.9489824)
747,15.0972099,52.0550373,2020-10-28T00:00:00,https://www.facebook.com/events/754816875120690/,POINT(15.0972099 52.0550373)
748,12.3730747,51.3396955,2020-10-28T00:00:00,https://www.facebook.com/events/346686543271988/,POINT(12.3730747 51.3396955)
749,20.0274126,50.3568703,2020-10-28T00:00:00,https://www.facebook.com/events/363442781738289/,POINT(20.0274126 50.3568703)
750,21.81237,53.62894,2020-10-28T19:00:00.029,,POINT(21.81237 53.62894)
751,20.0086471,51.5311945,2020-10-28T00:00:00,https://www.facebook.com/photo.php?fbid=1640634126108796&set=p.1640634126108796&type=3&av=1539769832715676&eav=AfY0UtXFo-uiglDZ_CE8bfDJc-Y25jiCKdE80igJM-t40clh2QJmo3UAUQQZQM061-B-7edElOiLjtZyTpogUEpM,POINT(20.0086471 51.5311945)
752,17.19966,52.80848,2020-10-28T00:00:00,https://www.facebook.com/events/684357752459831/,POINT(17.19966 52.80848)
753,19.9089047,53.0660775,2020-10-28T00:00:00,https://www.facebook.com/photo.php?fbid=3843931392293368&set=p.3843931392293368&type=3&av=1539769832715676&eav=Afbgs-FkJy0m8ngcAWvFgHRmE2D-7ej2ARGVhe9OGfmeVDZguJAt7UPP7F_LlYIlS-c1xCWvaZLDIz3hDlQAFKVm,POINT(19.9089047 53.0660775)
